Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Di Gregorio,Bournemouth,GKP,4.5,65,OK,14.44,0.0,1.0,65.0,BOU,1152.952380952381,1175.0952380952378,1175.0952380952378,0.06
Valdimarsson,Brentford,GKP,4.5,65,OK,14.44,0.0,1.0,65.0,BRE,1152.3333333333333,1173.1904761904761,1173.1904761904761,0.06
Steele,Brighton,GKP,4.0,58,OK,14.5,0.0,1.0,58.0,BHA,1169.3809523809523,1179.6190476190477,1179.6190476190477,0.05
Penders,Chelsea,GKP,4.5,65,OK,14.44,0.0,1.0,65.0,CHE,1209.904761904762,1154.9999999999998,1154.9999999999998,0.06
Dovin,Coventry City,GKP,4.0,58,OK,14.5,0.0,1.0,58.0,COV,1175.857142857143,1254.095238095238,1254.095238095238,0.05
Calafiori,Arsenal,DEF,5.6,217,OK,38.75,20.0,1.0,217.0,ARS,1148.6190476190475,1186.7142857142856,1186.7142857142856,0.18
Ajayi,Hull City,DEF,4.1,206,OK,50.24,20.0,1.0,206.0,HUL,1161.6666666666665,1190.047619047619,1190.047619047619,0.17
White,Arsenal,DEF,5.5,164,OK,29.82,18.0,1.0,164.0,ARS,1148.6190476190475,1186.7142857142856,1186.7142857142856,0.14
Tarkowski,Everton,DEF,6.0,239,OK,39.83,18.0,1.0,239.0,EVE,1140.5238095238096,1207.4761904761904,1207.4761904761904,0.2
De Cuyper,Brighton,DEF,4.7,180,OK,38.3,17.0,1.0,180.0,BHA,1169.3809523809523,1179.6190476190477,1179.6190476190477,0.15
Egan,Hull City,DEF,4.0,182,OK,45.5,17.0,1.0,182.0,HUL,1161.6666666666665,1190.047619047619,1190.047619047619,0.15
Mendy,Hull City,DEF,4.0,174,OK,43.5,16.0,1.0,174.0,HUL,1161.6666666666665,1190.047619047619,1190.047619047619,0.15
Kayode,Brentford,DEF,4.6,182,OK,39.57,15.0,1.0,182.0,BRE,1152.3333333333333,1173.1904761904761,1173.1904761904761,0.16
Gvardiol,Man City,DEF,5.6,154,OK,27.5,14.0,1.0,154.0,MCI,1139.047619047619,1181.8095238095236,1181.8095238095236,0.13
Hall,Newcastle,DEF,5.0,154,OK,30.8,14.0,1.0,154.0,NEW,1125.2857142857142,1136.095238095238,1136.095238095238,0.14
Gabriel,Arsenal,DEF,8.0,224,OK,28.0,13.0,1.08,241.92,ARS,1148.6190476190475,1186.7142857142856,1186.7142857142856,0.2
Mosquera,Arsenal,DEF,5.5,115,OK,20.91,12.0,1.0,115.0,ARS,1148.6190476190475,1186.7142857142856,1186.7142857142856,0.1
Castagne,Fulham,DEF,4.5,128,OK,28.44,12.0,1.0,128.0,FUL,1155.3809523809525,1198.2857142857142,1198.2857142857142,0.11
Giles,Hull City,DEF,4.0,144,OK,36.0,12.0,1.0,144.0,HUL,1161.6666666666665,1190.047619047619,1190.047619047619,0.12
Justin,Leeds,DEF,4.5,148,OK,32.89,12.0,1.0,148.0,LEE,1155.6666666666667,1218.5714285714287,1218.5714285714287,0.12
Guéhi,Man City,DEF,6.0,199,OK,33.17,12.0,1.0,199.0,MCI,1139.047619047619,1181.8095238095236,1181.8095238095236,0.17
Dedić,Newcastle,DEF,4.5,151,OK,33.56,12.0,1.0,151.0,NEW,1125.2857142857142,1136.095238095238,1136.095238095238,0.13
Ajer,Brentford,DEF,4.5,129,OK,28.67,11.0,1.0,129.0,BRE,1152.3333333333333,1173.1904761904761,1173.1904761904761,0.11
Thomas,Coventry City,DEF,4.0,136,OK,34.0,11.0,1.0,136.0,COV,1175.857142857143,1254.095238095238,1254.095238095238,0.11
Bijol,Leeds,DEF,5.0,143,OK,28.6,11.0,1.0,143.0,LEE,1155.6666666666667,1218.5714285714287,1218.5714285714287,0.12
Branthwaite,Everton,DEF,5.5,95,OK,17.27,10.0,1.0,95.0,EVE,1140.5238095238096,1207.4761904761904,1207.4761904761904,0.08
Mykolenko,Everton,DEF,4.5,133,OK,29.56,10.0,1.0,133.0,EVE,1140.5238095238096,1207.4761904761904,1207.4761904761904,0.11
Muharemović,Leeds,DEF,5.0,142,OK,28.4,10.0,1.0,142.0,LEE,1155.6666666666667,1218.5714285714287,1218.5714285714287,0.12
Collins,Brentford,DEF,5.5,146,OK,26.55,9.0,1.0,146.0,BRE,1152.3333333333333,1173.1904761904761,1173.1904761904761,0.12
Thiaw,Newcastle,DEF,5.0,144,OK,28.8,9.0,1.0,144.0,NEW,1125.2857142857142,1136.095238095238,1136.095238095238,0.13
Mukiele,Sunderland,DEF,5.5,159,OK,28.91,9.0,1.0,159.0,SUN,1194.5714285714284,1226.6190476190477,1226.6190476190477,0.13
Davis,Ipswich Town,DEF,4.0,114,OK,28.5,8.0,1.0,114.0,IPS,1176.0952380952378,1257.6666666666665,1257.6666666666665,0.09
Bogle,Leeds,DEF,4.5,118,OK,26.22,8.0,1.0,118.0,LEE,1155.6666666666667,1218.5714285714287,1218.5714285714287,0.1
Botman,Newcastle,DEF,5.0,114,OK,22.8,8.0,1.0,114.0,NEW,1125.2857142857142,1136.095238095238,1136.095238095238,0.1
N.Williams,Nott'm Forest,DEF,5.0,138,OK,27.6,8.0,1.0,138.0,NFO,1136.904761904762,1195.2380952380952,1195.2380952380952,0.12
Ballard,Sunderland,DEF,5.0,130,OK,26.0,8.0,1.0,130.0,SUN,1194.5714285714284,1226.6190476190477,1226.6190476190477,0.11
Hume,Sunderland,DEF,4.5,127,OK,28.22,8.0,1.0,127.0,SUN,1194.5714285714284,1226.6190476190477,1226.6190476190477,0.1
Wieffer,Brighton,DEF,5.0,119,OK,23.8,7.0,1.0,119.0,BHA,1169.3809523809523,1179.6190476190477,1179.6190476190477,0.1
Lacroix,Chelsea,DEF,6.0,146,OK,24.33,7.0,1.0,146.0,CHE,1209.904761904762,1154.9999999999998,1154.9999999999998,0.13
Rodon,Leeds,DEF,4.5,119,DOUBT,26.44,7.0,1.0,119.0,LEE,1155.6666666666667,1218.5714285714287,1218.5714285714287,0.1
Reinildo,Sunderland,DEF,4.5,98,OK,21.78,7.0,1.0,98.0,SUN,1194.5714285714284,1226.6190476190477,1226.6190476190477,0.08
Meunier,Sunderland,DEF,4.5,113,OK,25.11,7.0,1.0,113.0,SUN,1194.5714285714284,1226.6190476190477,1226.6190476190477,0.09
Silva,Bournemouth,DEF,5.0,61,OK,12.2,6.0,1.0,61.0,BOU,1152.952380952381,1175.0952380952378,1175.0952380952378,0.05
Vuskovic,Brighton,DEF,5.0,112,OK,22.4,6.0,1.0,112.0,BHA,1169.3809523809523,1179.6190476190477,1179.6190476190477,0.09
Coyle,Hull City,DEF,4.0,98,DOUBT,24.5,6.0,1.0,98.0,HUL,1161.6666666666665,1190.047619047619,1190.047619047619,0.08
Hill,Bournemouth,DEF,5.5,104,OK,18.91,5.0,1.0,104.0,BOU,1152.952380952381,1175.0952380952378,1175.0952380952378,0.09
Truffert,Bournemouth,DEF,5.5,137,OK,24.91,5.0,1.0,137.0,BOU,1152.952380952381,1175.0952380952378,1175.0952380952378,0.12
Boscagli,Brighton,DEF,4.5,61,OK,13.56,5.0,1.0,61.0,BHA,1169.3809523809523,1179.6190476190477,1179.6190476190477,0.05
Dunk,Brighton,DEF,4.5,98,OK,21.78,5.0,1.0,98.0,BHA,1169.3809523809523,1179.6190476190477,1179.6190476190477,0.08
Hato,Chelsea,DEF,4.5,49,OK,10.89,5.0,1.0,49.0,CHE,1209.904761904762,1154.9999999999998,1154.9999999999998,0.04
Maguire,Man Utd,DEF,5.0,92,OK,18.4,5.0,1.0,92.0,MUN,1160.952380952381,1203.6190476190475,1203.6190476190475,0.08
Milenković,Nott'm Forest,DEF,5.5,109,OK,19.82,5.0,1.0,109.0,NFO,1136.904761904762,1195.2380952380952,1195.2380952380952,0.09
Murillo,Nott'm Forest,DEF,5.5,88,OK,16.0,5.0,1.0,88.0,NFO,1136.904761904762,1195.2380952380952,1195.2380952380952,0.07
Aina,Nott'm Forest,DEF,4.5,78,OK,17.33,5.0,1.0,78.0,NFO,1136.904761904762,1195.2380952380952,1195.2380952380952,0.07
Robertson,Spurs,DEF,4.5,71,OK,15.78,5.0,1.0,71.0,TOT,1136.4285714285713,1178.5714285714282,1178.5714285714282,0.06
Acheampong,Chelsea,DEF,4.5,54,OK,12.0,4.0,1.0,54.0,CHE,1209.904761904762,1154.9999999999998,1154.9999999999998,0.05
Diop,Ipswich Town,DEF,4.0,49,OK,12.25,4.0,1.0,49.0,IPS,1176.0952380952378,1257.6666666666665,1257.6666666666665,0.04
O'Shea,Ipswich Town,DEF,4.0,83,OK,20.75,4.0,1.0,83.0,IPS,1176.0952380952378,1257.6666666666665,1257.6666666666665,0.07
Jacquet,Liverpool,DEF,5.0,96,OK,19.2,4.0,1.0,96.0,LIV,1101.3333333333333,1123.9523809523807,1123.9523809523807,0.09
O'Reilly,Man City,DEF,6.5,126,OK,19.38,4.0,1.0,126.0,MCI,1139.047619047619,1181.8095238095236,1181.8095238095236,0.11
Rúben,Man City,DEF,5.5,98,OK,17.82,4.0,1.0,98.0,MCI,1139.047619047619,1181.8095238095236,1181.8095238095236,0.08
Khusanov,Man City,DEF,5.5,71,OK,12.91,4.0,1.0,71.0,MCI,1139.047619047619,1181.8095238095236,1181.8095238095236,0.06
van Ewijk,Coventry City,DEF,4.0,76,OK,19.0,3.0,1.0,76.0,COV,1175.857142857143,1254.095238095238,1254.095238095238,0.06
Dasilva,Coventry City,DEF,4.0,55,OK,13.75,3.0,1.0,55.0,COV,1175.857142857143,1254.095238095238,1254.095238095238,0.04
Richards,Crystal Palace,DEF,5.0,100,OK,20.0,3.0,1.0,100.0,CRY,1084.6666666666667,1104.142857142857,1104.142857142857,0.09
B.Fernandes,Man Utd,MID,12.0,331,OK,27.58,25.0,1.2,397.2,MUN,1160.952380952381,1203.6190476190475,1160.952380952381,0.34
Cherki,Man City,MID,7.7,248,OK,32.21,22.0,1.0,248.0,MCI,1139.047619047619,1181.8095238095236,1139.047619047619,0.22
Saka,Arsenal,MID,9.5,246,OK,25.89,20.0,1.08,265.68,ARS,1148.6190476190475,1186.7142857142856,1148.6190476190475,0.23
Palmer,Chelsea,MID,9.6,220,OK,22.92,20.0,1.08,237.6,CHE,1209.904761904762,1154.9999999999998,1209.904761904762,0.2
M.Sangaré,Brentford,MID,5.6,190,OK,33.93,18.0,1.0,190.0,BRE,1152.3333333333333,1173.1904761904761,1152.3333333333333,0.16
Stach,Leeds,MID,6.0,211,OK,35.17,17.0,1.0,211.0,LEE,1155.6666666666667,1218.5714285714287,1155.6666666666667,0.18
Gakpo,Liverpool,MID,7.0,208,OK,29.71,17.0,1.0,208.0,LIV,1101.3333333333333,1123.9523809523807,1101.3333333333333,0.19
Elanga,Newcastle,MID,6.1,158,OK,25.9,17.0,1.0,158.0,NEW,1125.2857142857142,1136.095238095238,1125.2857142857142,0.14
Lewis-Potter,Brentford,MID,5.5,191,OK,34.73,16.0,1.0,191.0,BRE,1152.3333333333333,1173.1904761904761,1152.3333333333333,0.17
Hinshelwood,Brighton,MID,6.0,176,DOUBT,29.33,16.0,1.0,176.0,BHA,1169.3809523809523,1179.6190476190477,1169.3809523809523,0.15
Groß,Brighton,MID,5.5,161,OK,29.27,15.0,1.0,161.0,BHA,1169.3809523809523,1179.6190476190477,1169.3809523809523,0.14
Gibbs-White,Nott'm Forest,MID,7.9,227,OK,28.73,15.0,1.0,227.0,NFO,1136.904761904762,1195.2380952380952,1136.904761904762,0.2
Xhaka,Sunderland,MID,5.5,188,OK,34.18,15.0,1.0,188.0,SUN,1194.5714285714284,1226.6190476190477,1194.5714285714284,0.16
Ødegaard,Arsenal,MID,6.6,151,OK,22.88,14.0,1.0,151.0,ARS,1148.6190476190475,1186.7142857142856,1148.6190476190475,0.13
Scott,Bournemouth,MID,6.0,188,OK,31.33,14.0,1.0,188.0,BOU,1152.952380952381,1175.0952380952378,1152.952380952381,0.16
Schade,Brentford,MID,6.0,174,OK,29.0,13.0,1.0,174.0,BRE,1152.3333333333333,1173.1904761904761,1152.3333333333333,0.15
Rogers,Chelsea,MID,7.5,200,OK,26.67,13.0,1.0,200.0,CHE,1209.904761904762,1154.9999999999998,1209.904761904762,0.17
Dewsbury-Hall,Everton,MID,6.5,189,OK,29.08,13.0,1.0,189.0,EVE,1140.5238095238096,1207.4761904761904,1140.5238095238096,0.17
Ndiaye,Everton,MID,6.0,176,OK,29.33,13.0,1.0,176.0,EVE,1140.5238095238096,1207.4761904761904,1140.5238095238096,0.15
Mbeumo,Man Utd,MID,8.0,188,OK,23.5,13.0,1.0,188.0,MUN,1160.952380952381,1203.6190476190475,1160.952380952381,0.16
Szoboszlai,Liverpool,MID,7.0,187,OK,26.71,12.0,1.0,187.0,LIV,1101.3333333333333,1123.9523809523807,1101.3333333333333,0.17
Ndoye,Nott'm Forest,MID,5.5,121,OK,22.0,12.0,1.0,121.0,NFO,1136.904761904762,1195.2380952380952,1136.904761904762,0.11
Tavernier,Bournemouth,MID,6.0,166,OK,27.67,11.0,1.0,166.0,BOU,1152.952380952381,1175.0952380952378,1152.952380952381,0.14
Gomez,Brighton,MID,5.0,142,OK,28.4,11.0,1.0,142.0,BHA,1169.3809523809523,1179.6190476190477,1169.3809523809523,0.12
Cunha,Man Utd,MID,8.0,169,OK,21.12,11.0,1.0,169.0,MUN,1160.952380952381,1203.6190476190475,1160.952380952381,0.15
Janelt,Brentford,MID,5.0,120,OK,24.0,10.0,1.0,120.0,BRE,1152.3333333333333,1173.1904761904761,1152.3333333333333,0.1
Armstrong,Everton,MID,5.0,89,OK,17.8,10.0,1.0,89.0,EVE,1140.5238095238096,1207.4761904761904,1140.5238095238096,0.08
Enciso,Ipswich Town,MID,5.5,146,OK,26.55,10.0,1.0,146.0,IPS,1176.0952380952378,1257.6666666666665,1176.0952380952378,0.12
Munoz,Liverpool,MID,6.5,158,OK,24.31,10.0,1.0,158.0,LIV,1101.3333333333333,1123.9523809523807,1101.3333333333333,0.14
Foden,Man City,MID,7.0,155,OK,22.14,10.0,1.0,155.0,MCI,1139.047619047619,1181.8095238095236,1139.047619047619,0.14
Yalcouyé,Brighton,MID,4.5,125,OK,27.78,9.0,1.0,125.0,BHA,1169.3809523809523,1179.6190476190477,1169.3809523809523,0.11
King,Fulham,MID,5.5,106,OK,19.27,9.0,1.0,106.0,FUL,1155.3809523809525,1198.2857142857142,1155.3809523809525,0.09
Belloumi,Hull City,MID,5.0,131,OK,26.2,9.0,1.0,131.0,HUL,1161.6666666666665,1190.047619047619,1161.6666666666665,0.11
Willock,Newcastle,MID,5.0,91,OK,18.2,9.0,1.0,91.0,NEW,1125.2857142857142,1136.095238095238,1125.2857142857142,0.08
Rice,Arsenal,MID,7.5,171,OK,22.8,8.0,1.0,171.0,ARS,1148.6190476190475,1186.7142857142856,1148.6190476190475,0.15
Neto,Chelsea,MID,6.5,136,OK,20.92,8.0,1.0,136.0,CHE,1209.904761904762,1154.9999999999998,1209.904761904762,0.11
Lavia,Chelsea,MID,5.0,69,OK,13.8,8.0,1.0,69.0,CHE,1209.904761904762,1154.9999999999998,1209.904761904762,0.06
Slater,Hull City,MID,4.5,117,OK,26.0,8.0,1.0,117.0,HUL,1161.6666666666665,1190.047619047619,1161.6666666666665,0.1
Angulo,Sunderland,MID,5.0,69,OK,13.8,8.0,1.0,69.0,SUN,1194.5714285714284,1226.6190476190477,1194.5714285714284,0.06
Clarke,Ipswich Town,MID,5.5,123,OK,22.36,7.0,1.0,123.0,IPS,1176.0952380952378,1257.6666666666665,1176.0952380952378,0.1
Ampadu,Leeds,MID,5.5,134,OK,24.36,7.0,1.0,134.0,LEE,1155.6666666666667,1218.5714285714287,1155.6666666666667,0.12
Semenyo,Man City,MID,8.5,174,OK,20.47,7.0,1.08,187.92,MCI,1139.047619047619,1181.8095238095236,1139.047619047619,0.16
Lewis-Skelly,Arsenal,MID,5.5,115,OK,20.91,6.0,1.0,115.0,ARS,1148.6190476190475,1186.7142857142856,1148.6190476190475,0.1
Tzolis,Arsenal,MID,6.5,127,OK,19.54,6.0,1.0,127.0,ARS,1148.6190476190475,1186.7142857142856,1148.6190476190475,0.11
Kluivert,Bournemouth,MID,6.0,70,OK,11.67,6.0,1.0,70.0,BOU,1152.952380952381,1175.0952380952378,1152.952380952381,0.06
Cook,Bournemouth,MID,5.0,70,OK,14.0,6.0,1.0,70.0,BOU,1152.952380952381,1175.0952380952378,1152.952380952381,0.06
Jensen,Brentford,MID,5.5,104,DOUBT,18.91,6.0,1.0,104.0,BRE,1152.3333333333333,1173.1904761904761,1152.3333333333333,0.09
Wharton,Crystal Palace,MID,5.5,113,OK,20.55,6.0,1.0,113.0,CRY,1084.6666666666667,1104.142857142857,1084.6666666666667,0.1
Yeremy,Crystal Palace,MID,5.5,115,OK,20.91,6.0,1.0,115.0,CRY,1084.6666666666667,1104.142857142857,1084.6666666666667,0.11
Millar,Hull City,MID,5.0,109,OK,21.8,6.0,1.0,109.0,HUL,1161.6666666666665,1190.047619047619,1161.6666666666665,0.09
Lukić,Ipswich Town,MID,5.0,86,OK,17.2,6.0,1.0,86.0,IPS,1176.0952380952378,1257.6666666666665,1176.0952380952378,0.07
Núñez,Ipswich Town,MID,5.0,109,OK,21.8,6.0,1.0,109.0,IPS,1176.0952380952378,1257.6666666666665,1176.0952380952378,0.09
Fatawu,Ipswich Town,MID,5.5,115,OK,20.91,6.0,1.0,115.0,IPS,1176.0952380952378,1257.6666666666665,1176.0952380952378,0.1
Wirtz,Liverpool,MID,7.5,121,OK,16.13,6.0,1.0,121.0,LIV,1101.3333333333333,1123.9523809523807,1101.3333333333333,0.11
Gravenberch,Liverpool,MID,6.0,132,OK,22.0,6.0,1.0,132.0,LIV,1101.3333333333333,1123.9523809523807,1101.3333333333333,0.12
Tielemans,Man Utd,MID,6.0,86,OK,14.33,6.0,1.0,86.0,MUN,1160.952380952381,1203.6190476190475,1160.952380952381,0.07
L.Miley,Newcastle,MID,5.5,89,OK,16.18,6.0,1.0,89.0,NEW,1125.2857142857142,1136.095238095238,1125.2857142857142,0.08
Kamada,Crystal Palace,MID,5.0,78,OK,15.6,5.0,1.0,78.0,CRY,1084.6666666666667,1104.142857142857,1084.6666666666667,0.07
George,Everton,MID,5.5,48,OK,8.73,5.0,1.0,48.0,EVE,1140.5238095238096,1207.4761904761904,1140.5238095238096,0.04
Röhl,Everton,MID,5.0,60,OK,12.0,5.0,1.0,60.0,EVE,1140.5238095238096,1207.4761904761904,1140.5238095238096,0.05
João Pedro,Chelsea,FWD,7.6,258,OK,33.95,20.0,1.08,278.64,CHE,1209.904761904762,1154.9999999999998,1209.904761904762,0.23
Haaland,Man City,FWD,15.5,257,OK,16.58,15.0,1.2,308.4,MCI,1139.047619047619,1181.8095238095236,1139.047619047619,0.27
Wissa,Newcastle,FWD,6.1,107,OK,17.54,12.0,1.0,107.0,NEW,1125.2857142857142,1136.095238095238,1125.2857142857142,0.1
Barry,Everton,FWD,5.5,133,OK,24.18,10.0,1.0,133.0,EVE,1140.5238095238096,1207.4761904761904,1140.5238095238096,0.12
Emersonn,Ipswich Town,FWD,5.5,142,DOUBT,25.82,10.0,1.0,142.0,IPS,1176.0952380952378,1257.6666666666665,1176.0952380952378,0.12
Isak,Liverpool,FWD,9.0,101,OK,11.22,10.0,1.0,101.0,LIV,1101.3333333333333,1123.9523809523807,1101.3333333333333,0.09
Evanilson,Bournemouth,FWD,6.0,137,OK,22.83,9.0,1.0,137.0,BOU,1152.952380952381,1175.0952380952378,1152.952380952381,0.12
Calvert-Lewin,Leeds,FWD,6.0,154,OK,25.67,9.0,1.0,154.0,LEE,1155.6666666666667,1218.5714285714287,1155.6666666666667,0.13
Isidor,Sunderland,FWD,5.5,113,OK,20.55,9.0,1.0,113.0,SUN,1194.5714285714284,1226.6190476190477,1194.5714285714284,0.09
Havertz,Arsenal,FWD,7.5,82,OK,10.93,8.0,1.0,82.0,ARS,1148.6190476190475,1186.7142857142856,1148.6190476190475,0.07
Gonzalo,Fulham,FWD,6.0,133,OK,22.17,8.0,1.0,133.0,FUL,1155.3809523809525,1198.2857142857142,1155.3809523809525,0.12
Kostoulas,Brighton,FWD,5.5,67,OK,12.18,6.0,1.0,67.0,BHA,1169.3809523809523,1179.6190476190477,1169.3809523809523,0.06
McBurnie,Hull City,FWD,5.5,112,OK,20.36,6.0,1.0,112.0,HUL,1161.6666666666665,1190.047619047619,1161.6666666666665,0.1
Akpom,Ipswich Town,FWD,5.0,106,OK,21.2,6.0,1.0,106.0,IPS,1176.0952380952378,1257.6666666666665,1176.0952380952378,0.09
Georginio,Brighton,FWD,5.5,104,DOUBT,18.91,5.0,1.0,104.0,BHA,1169.3809523809523,1179.6190476190477,1169.3809523809523,0.09
Nmecha,Leeds,FWD,5.5,74,OK,13.45,4.0,1.0,74.0,LEE,1155.6666666666667,1218.5714285714287,1155.6666666666667,0.06
Woltemade,Newcastle,FWD,5.9,95,OK,16.1,4.0,1.0,95.0,NEW,1125.2857142857142,1136.095238095238,1125.2857142857142,0.08
Brobbey,Sunderland,FWD,6.0,86,OK,14.33,4.0,1.0,86.0,SUN,1194.5714285714284,1226.6190476190477,1194.5714285714284,0.07
Thomas-Asante,Coventry City,FWD,5.0,83,OK,16.6,3.0,1.0,83.0,COV,1175.857142857143,1254.095238095238,1175.857142857143,0.07
Awoniyi,Coventry City,FWD,5.5,49,OK,8.91,3.0,1.0,49.0,COV,1175.857142857143,1254.095238095238,1175.857142857143,0.04
Strand Larsen,Crystal Palace,FWD,6.0,68,OK,11.33,3.0,1.0,68.0,CRY,1084.6666666666667,1104.142857142857,1084.6666666666667,0.06
Nketiah,Crystal Palace,FWD,5.5,37,OK,6.73,3.0,1.0,37.0,CRY,1084.6666666666667,1104.142857142857,1084.6666666666667,0.03
Igor Jesus,Nott'm Forest,FWD,6.0,91,OK,15.17,3.0,1.0,91.0,NFO,1136.904761904762,1195.2380952380952,1136.904761904762,0.08
N.Jackson,Aston Villa,FWD,6.5,93,OK,14.31,2.0,1.0,93.0,AVL,1084.5714285714284,1090.1428571428569,1084.5714285714284,0.09
Thiago,Brentford,FWD,8.0,124,OK,15.5,2.0,1.08,133.92,BRE,1152.3333333333333,1173.1904761904761,1152.3333333333333,0.12
Wilson,Brentford,FWD,5.5,63,OK,11.45,2.0,1.0,63.0,BRE,1152.3333333333333,1173.1904761904761,1152.3333333333333,0.05
Simms,Coventry City,FWD,5.0,75,OK,15.0,2.0,1.0,75.0,COV,1175.857142857143,1254.095238095238,1175.857142857143,0.06
Beto,Everton,FWD,5.4,78,OK,14.44,2.0,1.0,78.0,EVE,1140.5238095238096,1207.4761904761904,1140.5238095238096,0.07
Šeško,Man Utd,FWD,7.0,82,OK,11.71,2.0,1.0,82.0,MUN,1160.952380952381,1203.6190476190475,1160.952380952381,0.07
Marmoush,Spurs,FWD,7.0,99,OK,14.14,2.0,1.0,99.0,TOT,1136.4285714285713,1178.5714285714282,1136.4285714285713,0.09
Solanke,Spurs,FWD,5.9,39,OK,6.61,2.0,1.0,39.0,TOT,1136.4285714285713,1178.5714285714282,1136.4285714285713,0.03
Richarlison,Spurs,FWD,5.9,87,OK,14.75,2.0,1.0,87.0,TOT,1136.4285714285713,1178.5714285714282,1136.4285714285713,0.08
Abraham,Aston Villa,FWD,5.5,21,OK,3.82,1.0,1.0,21.0,AVL,1084.5714285714284,1090.1428571428569,1084.5714285714284,0.02
Rodríguez,Bournemouth,FWD,6.0,75,OK,12.5,1.0,1.0,75.0,BOU,1152.952380952381,1175.0952380952378,1152.952380952381,0.07
Jebbison,Bournemouth,FWD,5.0,68,OK,13.6,1.0,1.0,68.0,BOU,1152.952380952381,1175.0952380952378,1152.952380952381,0.06
